frame_index,frame_filename,control_step,simulated_time_s,cart_position_steps,cart_velocity_steps_s,pole_angle_rad,pole_angle_deg,pole_angle_rate_rad_s,pole_angle_rate_deg_s,raw_control_steps_s,target_control_steps_s,applied_control_steps_s
0,frame_000000.png,1,0.004,-7.205473847032007,-3524.439247710642,-0.09418956479585172,-5.396664536976301,0.3704671837854504,21.226206079003713,-28234.66281958781,-28234.66281958781,-28234.66281958781
1,frame_000001.png,2,0.008,-27.045810300116372,-6333.327721875156,-0.09211592859126788,-5.27785393420812,0.659312223113948,37.7758077658169,-26026.74766950494,-26026.74766950494,-26026.74766950494
2,frame_000002.png,3,0.012,-56.90339548826447,-8546.302225859883,-0.08902501347165329,-5.100757543021031,0.880687440808974,50.459673428531715,-24061.70507692247,-24061.70507692247,-24061.70507692247
3,frame_000003.png,4,0.016,-94.59984358560341,-10263.767237293698,-0.08516246324383367,-4.879449716809671,1.046439771549782,59.95658242443654,-22305.09961008834,-22305.09961008834,-22305.09961008834
4,frame_000004.png,5,0.02,-138.32533260426445,-11569.959376849974,-0.08073049459220716,-4.625516618137186,1.16647968142161,66.83436263322308,-20727.81330133734,-20727.81330133734,-20727.81330133734
5,frame_000005.png,6,0.024,-186.57920182019797,-12535.524581509899,-0.07589500859413248,-4.3484636785529025,1.2490913479769932,71.5676624653886,-19305.206338932814,-19305.206338932814,-19305.206338932814
6,frame_000006.png,7,0.028,-238.12001999209858,-13219.685432823642,-0.07079156254235773,-4.056057758813506,1.3011934402920322,74.55289245884133,-18016.410927828234,-18016.410927828234,-18016.410927828234
7,frame_000007.png,8,0.032,-291.9236181716061,-13672.063782086912,-0.06553038361029127,-3.754614410742952,1.328558354098921,76.12078652671532,-16843.73716435142,-16843.73716435142,-16843.73716435142
8,frame_000008.png,9,0.036000000000000004,-347.14782030556074,-13934.213461810263,-0.06020057702885533,-3.449238988005624,1.335996508578406,76.54696138575615,-15772.173131413809,-15772.173131413809,-15772.173131413809
9,frame_000009.png,10,0.04,-403.1028061870573,-14040.909165525798,-0.05487365716482093,-3.14402896199205,1.327511261313521,76.06079252935331,-14788.964248240656,-14788.964248240656,-14788.964248240656
10,frame_000010.png,11,0.044,-459.2262106676712,-14021.230254399044,-0.04960650947072055,-2.842243629048035,1.3064291147070448,74.85287450572618,-13883.259286702829,-13883.259286702829,-13883.259286702829
11,frame_000011.png,12,0.048,-515.06220548397,-13899.472089389945,-0.04444387410237848,-2.546446411277067,1.2755091443287807,73.08129070038211,-13045.812466506482,-13045.812466506482,-13045.812466506482
12,frame_000012.png,13,0.052000000000000005,-570.2439298545536,-13695.912306879985,-0.03942042755595339,-2.25862412555734,1.237034954878657,70.87688202470328,-12268.73272382118,-12268.73272382118,-12268.73272382118
13,frame_000013.png,14,0.056,-624.4787367669365,-13427.4550981886,-0.03456252652829884,-1.980286899380469,1.1928919439664065,68.34767380443138,-11545.272662910373,-11545.272662910373,-11545.272662910373
14,frame_000014.png,15,0.06,-677.5358066224377,-13108.172888399267,-0.02988966798750504,-1.7125518267313238,1.1446322119382686,65.58259483878675,-10869.6508904553,-10869.6508904553,-10869.6508904553
15,frame_000015.png,16,0.064,-729.2357511868322,-12749.761727355246,-0.02541571084777301,-1.4562129649022568,1.0935290842536065,62.65460130253746,-10236.90243326848,-10236.90243326848,-10236.90243326848
16,frame_000016.png,17,0.068,-779.4418907454166,-12361.924113006246,-0.021149897416148193,-1.2117998590799364,1.0406229002664922,59.623300249933195,-9642.752782028585,-9642.752782028585,-9642.752782028585
17,frame_000017.png,18,0.07200000000000001,-828.0529377836709,-11952.690786639778,-0.01709770670098686,-0.9796264333190933,0.9867594593102215,56.53715241308678,-9083.511811815075,-9083.511811815075,-9083.511811815075
18,frame_000018.png,19,0.076,-874.9968629231608,-11528.691205435207,-0.013261566560731835,-0.7598317936617567,0.9326222938194024,53.43532131566156,-8555.984425838204,-8555.984425838204,-8555.984425838204
19,frame_000019.png,20,0.08,-920.2257545102947,-11095.38085516153,-0.00964144737304301,-0.5524142428728591,0.8787597532127925,50.349225065050796,-8057.395269730884,-8057.395269730884,-8057.395269730884
20,frame_000020.png,21,0.084,-963.7115132542714,-10657.232268380218,-0.006235356289379099,-0.35725959914177596,0.8256077258139759,47.303838222534885,-7585.325285134326,-7585.325285134326,-7585.325285134326
21,frame_000021.png,22,0.088,-1005.4422485409873,-10217.895522252229,-0.0030397481001086597,-0.17416473691913667,0.7735086945076453,44.318783611962196,-7137.6582257190585,-7137.6582257190585,-7137.6582257190585
22,frame_000022.png,23,0.092,-1045.4192642696212,-9780.33307221483,-4.986617875467575e-05,-0.0028571215830878517,0.7227277111647307,41.40924758688905,-6712.53555687796,-6712.53555687796,-6712.53555687796
23,frame_000023.png,24,0.096,-1083.6545399054457,-9346.93300582819,0.0027399751758131435,0.15698901354470884,0.6734657817959937,38.58674694338887,-6308.318411056359,-6308.318411056359,-6308.318411056359
24,frame_000024.png,25,0.1,-1120.1686274522103,-8919.604151812571,0.005336157488177095,0.30573930288967804,0.6258710761153051,35.859771180718084,-5923.555481574035,-5923.555481574035,-5923.555481574035
25,frame_000025.png,26,0.10400000000000001,-1154.9888976710772,-8499.855933207089,0.007745565955187921,0.443788239172484,0.5800483093592725,33.23432003998504,-5556.955915175583,-5556.955915175583,-5556.955915175583
26,frame_000026.png,27,0.108,-1188.1480794898116,-8088.865394281773,0.009975431681979275,0.5715501341985005,0.5360665888414583,30.714353078590353,-5207.366412743748,-5207.366412743748,-5207.366412743748
27,frame_000027.png,28,0.112,-1219.6830454746905,-7687.533444532994,0.012033202667042754,0.6894517268471158,0.4939659711537365,28.30216537019007,-4873.751873103876,-4873.751873103876,-4873.751873103876
28,frame_000028.png,29,0.116,-1249.6338037466612,-7296.532038187736,0.01392643880178649,0.7979261669895932,0.45376293676531854,25.99870117611441,-4555.179020403238,-4555.179020403238,-4555.179020403238
29,frame_000029.png,30,0.12,-1278.0426630383204,-6916.343734377108,0.015662726909647266,0.897408147588771,0.4154549558349086,23.803815547134278,-4250.802544335105,-4250.802544335105,-4250.802544335105
30,frame_000030.png,31,0.124,-1304.9535428990444,-6547.2948533074605,0.0172496124884434,0.9883299938239645,0.379024291353631,21.716492227499916,-3959.8533571586245,-3959.8533571586245,-3959.8533571586245
31,frame_000031.png,32,0.128,-1330.4114055217235,-6189.583250455946,0.01869454535648977,1.071118548842755,0.3444411624433693,19.73502489858506,-3681.6286342834396,-3681.6286342834396,-3681.6286342834396
32,frame_000032.png,33,0.132,-1354.4617894202884,-5843.301568240764,0.020004836854234927,1.1461927215954277,0.3116663710468488,17.857167677142755,-3415.4833580273253,-3415.4833580273253,-3415.4833580273253
33,frame_000033.png,34,0.136,-1377.1504283454651,-5508.456687881789,0.021187626632437607,1.213961583937656,0.28065347877330893,16.08025983937504,-3160.8231286018804,-3160.8231286018804,-3160.8231286018804
34,frame_000034.png,35,0.14,-1398.52294148196,-5184.9859891677825,0.022249857376626662,1.2748229224487295,0.2513506068116774,14.401328948361318,-2917.098043768691,-2917.098043768691,-2917.098043768691
35,frame_000035.png,36,0.14400000000000002,-1418.624583203395,-4872.770929127739,0.023198256085414665,1.3291621657579389,0.22370192017520607,12.817175895011749,-2683.797480058392,-2683.797480058392,-2683.797480058392
36,frame_000036.png,37,0.148,-1437.5000425390112,-4571.648369260654,0.02403932074526078,1.3773516210647274,0.19764884774719824,11.324444801538247,-2460.4456349008797,-2460.4456349008797,-2460.4456349008797
37,frame_000037.png,38,0.152,-1455.1932840849108,-4281.420012566702,0.024779311433314518,1.4197499643691884,0.1731310813620735,9.91968026458288,-2246.597711270264,-2246.597711270264,-2246.597711270264
38,frame_000038.png,39,0.156,-1471.7474234199533,-4001.8602540879733,0.025424245038747947,1.4567019380266795,0.15008739023172918,8.599374018411101,-2041.8366451701704,-2041.8366451701704,-2041.8366451701704
39,frame_000039.png,40,0.16,-1487.2046312023301,-3732.7227002801283,0.025979892926317673,1.4885382168797845,0.12845628120551822,7.360002765021872,-1845.7702920353604,-1845.7702920353604,-1845.7702920353604
40,frame_000040.png,41,0.164,-1501.6060610609354,-3473.745571843433,0.0264517809778415,1.5155754106347517,0.10817653045784728,6.198058637603052,-1658.0290013761405,-1658.0290013761405,-1658.0290013761405
41,frame_000041.png,42,0.168,-1514.9917971842008,-3224.6561704199407,0.026845191541236046,1.5381161755331232,0.08918760808294707,5.110073528019734,-1478.2635201401354,-1478.2635201401354,-1478.2635201401354
42,frame_000042.png,43,0.17200000000000001,-1527.4008181718475,-2985.174560784442,0.02716516689560628,1.5564494128867405,0.07143001361776288,4.09263831085981,-1306.1431746454718,-1306.1431746454718,-1306.1431746454718
43,frame_000043.png,44,0.176,-1538.8709742720498,-2755.016595955194,0.027416513907016198,1.5708505358337552,0.054845537606845504,3.142417829998285,-1141.354288831244,-1141.354288831244,-1141.354288831244
44,frame_000044.png,45,0.18,-1549.43897559459,-2533.896392298763,0.02760380960502847,1.5815817888508152,0.03937746187986575,2.2561623736535923,-983.5988032117602,-983.5988032117602,-983.5988032117602
