frame_index,frame_filename,control_step,simulated_time_s,cart_position_steps,cart_velocity_steps_s,pole_angle_rad,pole_angle_deg,pole_angle_rate_rad_s,pole_angle_rate_deg_s,raw_control_steps_s,target_control_steps_s,applied_control_steps_s
0,frame_000000.png,1,0.004,1.2,600.0,0.08719160346488324,4.995710887516054,-0.03742956741661646,-2.144556241972507,25950.301003874953,12000.0,12000.0
1,frame_000001.png,2,0.008,4.8,1200.0,0.08696697210680791,4.9828404587520465,-0.07488611162104691,-4.290658140031576,26393.885301531882,12000.0,12000.0
2,frame_000002.png,3,0.012,10.799999999999999,1800.0,0.08659235267230177,4.961376346231267,-0.11242360563202622,-6.441398120358294,26797.299929712626,12000.0,12000.0
3,frame_000003.png,4,0.016,19.2,2400.0,0.08606731326052824,4.931293803858613,-0.1500961002547302,-8.59987306596852,27158.78950921823,12000.0,12000.0
4,frame_000004.png,5,0.02,29.999999999999996,3000.0,0.08539120545614419,4.89255568017155,-0.1879578019372933,-10.769188777562755,27476.531977713763,12000.0,12000.0
5,frame_000005.png,6,0.024,43.2,3600.0,0.08456316355067847,4.845112373728393,-0.22606315079556688,-12.952464444015481,27748.636011342085,12000.0,12000.0
6,frame_000006.png,7,0.028,58.800000000000004,4200.0,0.0835821034512504,4.788901770582481,-0.2644668989184673,-15.152837128941133,27973.138348357566,12000.0,12000.0
7,frame_000007.png,8,0.032,76.80000000000001,4800.0,0.08244672127528029,4.723849163765013,-0.3032241890665861,-17.373466279792304,28148.001010992528,12000.0,12000.0
8,frame_000008.png,9,0.036000000000000004,97.20000000000002,5400.0,0.08115549162939267,4.649867154673481,-0.3423906338772208,-19.61753826597374,28271.108421625097,12000.0,12000.0
9,frame_000009.png,10,0.04,120.00000000000001,6000.0,0.07970666557025897,4.566855536236548,-0.3820223956896327,-21.888270952492686,28340.26440916775,12000.0,12000.0
10,frame_000010.png,11,0.044,145.2,6600.0,0.07809826824466941,4.474701157700137,-0.4221762671051504,-24.188918315712847,28353.18910144041,12000.0,12000.0
11,frame_000011.png,12,0.048,172.79999999999998,7200.0,0.07632809620566368,4.373277770853042,-0.4629097523977142,-26.522775107834963,28307.515699130774,12000.0,12000.0
12,frame_000012.png,13,0.052000000000000005,202.7983361371877,7799.168068593852,0.07439390540574463,4.262456801244648,-0.5041856475618123,-28.88770969636223,28200.787126776973,12000.0,12000.0
13,frame_000013.png,14,0.056,235.04376022607477,8323.543975849685,0.07231038865645005,4.143080084965251,-0.5375727270854741,-30.800648443335703,28031.229733180713,12000.0,12000.0
14,frame_000014.png,15,0.06,269.255775735832,8782.46377902893,0.07010685011341478,4.0168266264549235,-0.564196544432161,-32.32608081182806,27865.396370418202,12000.0,12000.0
15,frame_000015.png,16,0.064,305.18889958659355,9184.098146351847,0.06780838040275189,3.8851340126952847,-0.5850383108992779,-33.52022606799113,27701.58098761549,12000.0,12000.0
16,frame_000016.png,17,0.068,342.62829153658436,9535.597828643558,0.06543639755377767,3.749229406371645,-0.6009531135878305,-34.43207709382865,27538.245698447383,12000.0,12000.0
17,frame_000017.png,18,0.07200000000000001,381.38592913834617,9843.220972237337,0.06300911961882592,3.61015662499368,-0.6126858538880426,-35.10431359515386,27373.99796828789,12000.0,12000.0
18,frame_000018.png,19,0.076,421.2972601624823,10112.444539830729,0.06054197752843769,3.4687997957553507,-0.6208851913060753,-35.57410102401083,27207.570583128014,12000.0,12000.0
19,frame_000019.png,20,0.08,462.21827288823584,10348.06182304602,0.058047975662034255,3.3259040147126835,-0.626115741895644,-35.87378949732278,27037.804050348965,12000.0,12000.0
20,frame_000020.png,21,0.084,504.0229320999708,10554.26778282143,0.05553800667937019,3.182093385297288,-0.6288687494363884,-36.03152521037512,26863.631125020565,12000.0,12000.0
21,frame_000021.png,22,0.088,546.6009351397028,10734.733737044511,0.0530211263399691,3.0378867643101515,-0.629571420264154,-36.07178528319306,26684.063193531776,12000.0,12000.0
22,frame_000022.png,23,0.092,589.8557480641441,10892.672725176179,0.050504793321797,2.8937115025194733,-0.628595088821898,-36.01584561214587,26498.17827973312,12000.0,12000.0
23,frame_000023.png,24,0.096,633.7028869417477,11030.896713625654,0.047995078423874626,2.749915431087415,-0.6262623601392859,-35.88219010388308,26305.110467973587,12000.0,12000.0
24,frame_000024.png,25,0.1,678.0684136897356,11151.866660368336,0.045496846989210596,2.606777313634254,-0.6228533571927309,-35.68686862269782,26104.040562967457,12000.0,12000.0
25,frame_000025.png,26,0.10400000000000001,722.8876196707995,11257.736330163578,0.043013917904584045,2.4645159562548713,-0.6186111851205421,-35.44381006699314,25894.18782878567,12000.0,12000.0
26,frame_000026.png,27,0.108,768.1038736120552,11350.39064046426,0.04054920211377199,2.323298143742092,-0.6137467102854848,-35.16509618939675,25674.802668829092,12000.0,12000.0
27,frame_000027.png,28,0.112,813.6676133344512,11431.479220733743,0.03810482321332022,2.183245549215376,-0.6084427399404002,-34.861201073960856,25445.160125757855,12000.0,12000.0
28,frame_000028.png,29,0.116,859.5354633412479,11502.445782664667,0.035682222378352065,2.0444407459268317,-0.6028576775436786,-34.54120057031149,25204.55409532511,12000.0,12000.0
29,frame_000029.png,30,0.12,905.6694625549989,11564.55382421082,0.033282249584465504,1.9069324338909113,-0.5971287193996004,-34.21295544764871,24952.292161164158,12000.0,12000.0
30,frame_000030.png,31,0.124,952.0363884535606,11618.909125070024,0.030905242845472386,1.7707399798724508,-0.5913746500969583,-33.88327156158153,24687.690969037085,12000.0,12000.0
31,frame_000031.png,32,0.128,998.6071655719617,11666.479434130551,0.02855109697119475,1.6358573569182069,-0.5856982870418588,-33.55803991554034,24410.07206907679,12000.0,12000.0
32,frame_000032.png,33,0.132,1045.3563478390206,11708.111699398953,0.02621932316091232,1.502256558809885,-0.5801886180993567,-33.242359138620664,24118.75816332038,12000.0,12000.0
33,frame_000033.png,34,0.136,1092.261665532165,11744.547147173176,0.023909100582990214,1.3698905553591154,-0.5749226708616958,-32.94064258676412,23813.069703498204,12000.0,12000.0
34,frame_000034.png,35,0.14,1139.3036287843765,11776.434478932559,0.021619320946765795,1.2386958461884552,-0.5699671472505139,-32.65671199856597,23492.32179074545,12000.0,12000.0
35,frame_000035.png,36,0.14400000000000002,1186.4651805840494,11804.341420903842,0.01934862694636331,1.1085946633997157,-0.5653798529507277,-32.3938793958038,23155.82133476295,12000.0,12000.0
36,frame_000036.png,37,0.148,1233.7313930897235,11828.764831933187,0.017095445345481984,0.9794968671926852,-0.5612109474899356,-32.15501870771137,22802.86443507523,12000.0,12000.0
