frame_index,frame_filename,control_step,simulated_time_s,cart_position_steps,cart_velocity_steps_s,pole_angle_rad,pole_angle_deg,pole_angle_rate_rad_s,pole_angle_rate_deg_s,raw_control_steps_s,target_control_steps_s,applied_control_steps_s
0,frame_000000.png,1,0.004,9.399348936150133,4597.537233049601,0.12286778141940013,7.039805313467543,-0.4832645851912481,-27.68902111959894,36831.366481909536,36831.366481909536,36831.366481909536
1,frame_000001.png,2,0.008,35.280539998966134,8261.65751880675,0.12016277815836605,6.884820043041166,-0.8600552544465212,-49.277536227835796,33951.19990888262,33951.19990888262,33951.19990888262
2,frame_000002.png,3,0.012,74.2289655337879,11148.423884397558,0.11613076161676875,6.653802512280706,-1.1488333363750032,-65.82330153822092,31387.854125636488,31387.854125636488,31387.854125636488
3,frame_000003.png,4,0.016,123.40297918541046,13388.811299688083,0.11109216760540651,6.365112340749758,-1.3650528420852015,-78.21176666382009,29096.40902758458,29096.40902758458,29096.40902758458
4,frame_000004.png,5,0.02,180.44171631988587,15092.70419528205,0.10531078240922329,6.033863369269046,-1.5216417109233111,-87.18364796697138,27038.881000573594,27038.881000573594,27038.881000573594
5,frame_000005.png,6,0.024,243.38760494686844,16352.258316478701,0.099003019569935,5.67245518040837,-1.6294064321110477,-93.35811167143274,25183.128065720543,25183.128065720543,25183.128065720543
6,frame_000006.png,7,0.028,310.62123103960766,17244.727945329032,0.09234570996951125,5.291019437392165,-1.69737222539115,-97.2522647776412,23501.928739562296,23501.928739562296,23501.928739562296
7,frame_000007.png,8,0.032,380.8065934523674,17834.843466688748,0.08548264202313546,4.897794609553315,-1.733069027425144,-99.29754087630306,21972.207013387804,21972.207013387804,21972.207013387804
8,frame_000008.png,9,0.036000000000000004,452.84509592938866,18176.81074955311,0.07853005113395457,4.499440494922141,-1.7427719020560006,-99.85347464179571,20574.380240738046,20574.380240738046,20574.380240738046
9,frame_000009.png,10,0.04,525.8368863630157,18315.992456474927,0.07158122589082459,4.101302135916826,-1.731703122743864,-99.21928030284856,19291.81041032036,19291.81041032036,19291.81041032036
10,frame_000010.png,11,0.044,599.0483743785156,18290.321840455686,0.06471037185317088,3.707631197908847,-1.7042020233735615,-97.64358337696035,18110.342383730687,18110.342383730687,18110.342383730687
11,frame_000011.png,12,0.048,671.8849441332782,18131.49155350415,0.05797585136398125,3.3217715968339028,-1.6638677446223529,-95.3325994348119,17017.915286554115,17017.915286554115,17017.915286554115
12,frame_000012.png,13,0.052000000000000005,743.868035498077,17865.953232805638,0.05142289898994732,2.9463150824515254,-1.613679188067364,-92.45700696435739,16004.235435960883,16004.235435960883,16004.235435960883
13,frame_000013.png,14,0.056,814.6158982308235,17515.75794621049,0.04508589634091049,2.5832315758984925,-1.5560958047306201,-89.15772212907801,15060.501033723049,15060.501033723049,15060.501033723049
14,frame_000014.png,15,0.06,883.8274343058545,17099.262797851694,0.03899027669303931,2.233978296558453,-1.4931422682210937,-85.55075018165941,14179.170406066793,14179.170406066793,14179.170406066793
15,frame_000015.png,16,0.064,951.26863654414,16631.724973583398,0.033154118631200914,1.8995910710438624,-1.4264795977244646,-81.7312605111313,13353.766877559176,13353.766877559176,13353.766877559176
16,frame_000016.png,17,0.068,1016.761209894131,16125.801123851868,0.027589478499050062,1.5807606769624978,-1.3574648882505165,-77.77700893395253,12578.714464511273,12578.714464511273,12578.714464511273
17,frame_000017.png,18,0.07200000000000001,1080.1730274878296,15591.967137013618,0.022303503517221778,1.277896619891995,-1.28720146252755,-73.75121118589561,11849.199497137804,11849.199497137804,11849.199497137804
18,frame_000018.png,19,0.076,1141.4101289173668,15038.870963586405,0.017299360762463026,0.9911803599633493,-1.2165809704315427,-69.7049550416574,11161.054056680186,11161.054056680186,11161.054056680186
19,frame_000019.png,20,0.08,1200.4100147052927,14473.62913961596,0.01257701159321921,0.7206096831785681,-1.1463187191907558,-65.67922458647247,10510.657767203164,10510.657767203164,10510.657767203164
20,frame_000020.png,21,0.084,1257.1360300743224,13902.07596483968,0.008133856391586758,0.46603564240343026,-1.0769833135267584,-61.706598471097955,9894.855031435309,9894.855031435309,9894.855031435309
21,frame_000021.png,22,0.088,1311.5726640347002,13328.972867805925,0.00396527052591963,0.2271932657628151,-1.0090215132510802,-57.81267414719057,9310.885262341277,9310.885262341277,9310.885262341277
22,frame_000022.png,23,0.092,1363.7216174882153,12758.184292818263,6.504910352574578e-05,0.003727039093134796,-0.9427790714778042,-54.017261808940745,8756.324050971281,8756.324050971281,8756.324050971281
23,frame_000023.png,24,0.096,1413.5985173286094,12192.825436565305,-0.0035742247214546946,-0.20478799157067626,-0.8785181952003244,-50.3353848104288,8229.033538201349,8229.033538201349,8229.033538201349
24,frame_000024.png,25,0.1,1461.230173098,11635.38631532938,-0.006960875478062671,-0.3988287866091003,-0.816432167868419,-46.77811747757675,7727.12053307826,7727.12053307826,7727.12053307826
25,frame_000025.png,26,0.10400000000000001,1506.6522892261403,11087.83593130773,-0.010103884722413449,-0.578909951281002,-0.7566575877223569,-43.35328631304091,7248.9011518727175,7248.9011518727175,7248.9011518727175
26,frame_000026.png,27,0.108,1549.907559728567,10551.709707436048,-0.013012685238774671,-0.7455719443139746,-0.6992846034141215,-40.06605645410872,6792.87094656909,6792.87094656909,6792.87094656909
27,frame_000027.png,28,0.112,1591.0440838870159,10028.182856184194,-0.015696992743029103,-0.8993714352230487,-0.6443654677021308,-36.91942176330545,6357.679655223281,6357.679655223281,6357.679655223281
28,frame_000028.png,29,0.116,1630.1140512308705,9518.13192396433,-0.01816666891239228,-1.0408734564915951,-0.591921678920018,-33.91461400441486,5942.109844314662,5942.109844314662,5942.109844314662
29,frame_000029.png,30,0.12,1667.1726523762047,9022.186396324796,-0.020431610556194607,-1.1706450535248916,-0.5419499369571178,-31.051444095023886,5545.0588290370715,5545.0588290370715,5545.0588290370715
30,frame_000030.png,31,0.124,1702.277179206727,8540.77194929322,-0.02250166057559664,-1.2892501830176022,-0.49442710435723447,-28.328586356543852,5165.523354893698,5165.523354893698,5165.523354893698
31,frame_000031.png,32,0.128,1735.4862837068704,8074.146680075722,-0.0243865370603922,-1.3972456504998423,-0.44931433275716737,-25.743814941722363,4802.586605904629,4802.586605904629,4802.586605904629
32,frame_000032.png,33,0.132,1766.8593696565324,7622.431438242148,-0.026095777459682605,-1.495177911552438,-0.4065604893340423,-23.294200155614146,4455.407173663716,4455.407173663716,4455.407173663716
33,frame_000033.png,34,0.136,1796.4560955168167,7185.635200160753,-0.0276386952579365,-1.5835805895280037,-0.3661049964425778,-20.976271154811727,4123.209679460646,4123.209679460646,4123.209679460646
34,frame_000034.png,35,0.14,1824.3359703005017,6763.67627943195,-0.029024347003720294,-1.6629725864363496,-0.3278801795539348,-18.78615047443209,3805.276790455223,3805.276790455223,3805.276790455223
35,frame_000035.png,36,0.14400000000000002,1850.5580271340114,6356.400039903825,-0.030261507887756334,-1.7338566836702884,-0.29181320341335626,-16.7196649617779,3500.942411916476,3500.942411916476,3500.942411916476
36,frame_000036.png,37,0.148,1875.180561667066,5963.593671742023,-0.031358654360505576,-1.796718546066485,-0.2578276635573609,-14.772436963555721,3209.5858720501674,3209.5858720501674,3209.5858720501674
37,frame_000037.png,38,0.152,1898.2609245456297,5584.998501785841,-0.032323952526063966,-1.8520260569247013,-0.22584488958841165,-12.939958998014054,2930.6269449695683,2930.6269449695683,2930.6269449695683
38,frame_000038.png,39,0.156,1919.8553588952605,5220.320234369771,-0.03316525125628074,-1.9002289234758378,-0.19578500757243678,-11.21765462583749,2663.5215817871513,2663.5215817871513,2663.5215817871513
39,frame_000039.png,40,0.16,1940.0188752176437,4869.237455670375,-0.03389007914293719,-1.9417585022546393,-0.16756780133040555,-9.6009277985189,2407.758240350332,2407.758240350332,2407.758240350332
40,frame_000040.png,41,0.164,1958.8051573268044,4531.40868155563,-0.03450564455185189,-1.9770278021996963,-0.14111340601065464,-8.085202597126534,2162.854721429635,2162.854721429635,2162.854721429635
41,frame_000041.png,42,0.168,1976.2664939801357,4206.4781842725715,-0.03501883816534838,-2.0064316303261127,-0.11634286196146973,-6.665954966865342,1928.355433709903,1928.355433709903,1928.355433709903
42,frame_000042.png,43,0.17200000000000001,1992.4537317239722,3894.080795767422,-0.035436237502372264,-2.0303468507091402,-0.09317855241177002,-5.33873779433296,1703.8290221705047,1703.8290221705047,1703.8290221705047
43,frame_000043.png,44,0.176,2007.4162452000737,3593.8458538620575,-0.03576411299182026,-2.0491327324602966,-0.07154454467554965,-4.0992004570941605,1488.8663047351583,1488.8663047351583,1488.8663047351583
44,frame_000044.png,45,0.18,2021.2019217700004,3305.400430962426,-0.036008435246987734,-2.0631313665225113,-0.051366851408567,-2.9431037925865167,1283.0784707344656,1283.0784707344656,1283.0784707344656
45,frame_000045.png,46,0.184,2033.857157827424,3028.3719626501393,-0.036174883249677714,-2.072668134585029,-0.03257362576738915,-1.8663312799099856,1086.0955020137817,1086.0955020137817,1086.0955020137817
46,frame_000046.png,47,0.188,2045.4268645994464,2762.3903747364952,-0.036268853203311406,-2.07805221632928,-0.015095302070343038,-0.8648970991057499,897.5647836532353,897.5647836532353,897.5647836532353
47,frame_000047.png,48,0.192,2055.954481600043,2507.089791573928,-0.03629546785691156,-2.0795771236537712,0.0011353083308776324,0.06504837580533034,717.1498764298458,717.1498764298458,717.1498764298458
48,frame_000048.png,49,0.196,2065.4819962027987,2262.109895148361,-0.03625958613741621,-2.077521252565015,0.01618295784851357,0.9272151847579386,544.5294274971675,544.5294274971675,544.5294274971675
49,frame_000049.png,50,0.2,2074.049968055382,2027.096993317702,-0.03616581295753379,-2.0721484451262318,0.030109933338488055,1.7251721017156183,379.3961994159836,379.3961994159836,379.3961994159836
50,frame_000050.png,51,0.20400000000000001,2081.6975572724887,1801.7048461807303,-0.036018509091205235,-2.0637085552796464,0.04297605099627813,2.4623463422257337,221.4562007493314,221.4562007493314,221.4562007493314
51,frame_000051.png,52,0.20800000000000002,2088.462555523793,1585.5952916743681,-0.035821801029480634,-2.052438013546628,0.05483867074294264,3.1420243876781595,70.42790402830633,70.42790402830633,70.42790402830633
52,frame_000052.png,53,0.212,2094.3814192842983,1378.4387048680446,-0.035579590746907475,-2.0385603866005146,0.06575272616456578,3.7673537007090396,-73.95846092117608,-73.95846092117608,-73.95846092117608
53,frame_000053.png,54,0.216,2099.489304640944,1179.9143198517254,-0.035295565322919976,-2.022286928531617,0.07577076673055178,4.341345144130888,-211.96154846099125,-211.96154846099125,-211.96154846099125
54,frame_000054.png,55,0.22,2103.8201031553513,989.7104384310126,-0.03497320637468123,-2.003817121309261,0.08494300957159641,4.866875947591829,-343.82948205352386,-343.82948205352386,-343.82948205352386
55,frame_000055.png,56,0.224,2107.4064783713898,807.524545907154,-0.03461579926775399,-1.983339202514349,0.09331739856379798,5.346693092845794,-469.80038991938363,-469.80038991938363,-469.80038991938363
56,frame_000056.png,57,0.228,2110.2799026306,633.0633509128805,-0.0342264420791917,-1.9610306788866505,0.10093966885558059,5.783417010872888,-590.1028976543539,-590.1028976543539,-590.1028976543539
57,frame_000057.png,58,0.232,2112.470693920718,466.0427634967152,-0.0338080542944263,-1.9370588246197653,0.1078534153009319,6.179545502815094,-704.9565830916918,-704.9565830916918,-704.9565830916918
58,frame_000058.png,59,0.23600000000000002,2114.0080525345275,306.18782331462614,-0.03336338522491534,-1.9115811636567777,0.11410016353603711,6.537457812367418,-814.5723979132736,-814.5723979132736,-814.5723979132736
59,frame_000059.png,60,0.24,2114.9200973597194,153.2325878278936,-0.032895022138094435,-1.8847459355022205,0.11971944266523595,6.859418790376459,-919.1530598524732,-919.1530598524732,-919.1530598524732
60,frame_000060.png,61,0.244,2115.23390165665,6.919988760305472,-0.03240539809492615,-1.8566925442805469,0.12474885871350413,7.147583103357592,-1018.8934187742361,-1018.8934187742361,-1018.8934187742361
61,frame_000061.png,62,0.248,2114.9755282110837,-132.99833631373176,-0.0318967994933805,-1.827551990945725,0.12922416816238402,7.403999446793428,-1113.980799446801,-1113.980799446801,-1113.980799446801
62,frame_000062.png,63,0.252,2114.1700637741246,-266.7622315379921,-0.031371373318642,-1.797447288687506,0.13317935101952535,7.6306147317101205,-1204.5953234216618,-1204.5953234216618,-1204.5953234216618
63,frame_000063.png,64,0.256,2112.8416527223967,-394.6032247606348,-0.03083113410281044,-1.7664938616929002,0.13664668298300084,7.829278219388074,-1290.9102121017568,-1290.9102121017568,-1290.9102121017568
64,frame_000064.png,65,0.26,2111.013529888826,-516.7447400140197,-0.030277970598428607,-1.7347999275111547,0.13965680635391056,8.001745584354895,-1373.0920727931207,-1373.0920727931207,-1373.0920727931207
65,frame_000065.png,66,0.264,2108.708052528673,-633.4023172481118,-0.0297136521713993,-1.7024668633409141,0.14223879942749157,8.149682890203097,-1451.3011692939822,-1451.3011692939822,-1451.3011692939822
66,frame_000066.png,67,0.268,2105.946731397257,-744.7838366503418,-0.029139834919802887,-1.669589556612643,0.1444202441565312,8.274670466418128,-1525.691678370767,-1525.691678370767,-1525.691678370767
