frame_index,frame_filename,control_step,simulated_time_s,cart_position_steps,cart_velocity_steps_s,pole_angle_rad,pole_angle_deg,pole_angle_rate_rad_s,pole_angle_rate_deg_s,raw_control_steps_s,target_control_steps_s,applied_control_steps_s
77,frame_000077.png,78,0.312,1444.9880490193268,-1179.6085886239075,-0.015907455514503288,-0.911430063773146,0.10466947379615615,5.997119092374911,-1501.1856897978232,-1501.1856897978232,-1501.1856897978232
78,frame_000078.png,79,0.316,1440.180593756577,-1223.1517045352327,-0.015489922972961784,-0.887507211333447,0.10401083007641529,5.959381587030962,-1528.4371850223538,-1528.4371850223538,-1528.4371850223538
79,frame_000079.png,80,0.32,1435.2035320550092,-1264.4614243579333,-0.015075248898042215,-0.863748136967064,0.1032457644210776,5.915546553929701,-1554.0883240622193,-1554.0883240622193,-1554.0883240622193
80,frame_000080.png,81,0.324,1430.0656197491899,-1303.624691482748,-0.014663840732762537,-0.8401761854393178,0.10238315299806999,5.866122560031592,-1578.2025798909326,-1578.2025798909326,-1578.2025798909326
81,frame_000081.png,82,0.328,1424.775271497983,-1340.7252220654884,-0.014256071458132166,-0.8168127269878867,0.10143136094362576,5.811588892337851,-1600.841042172272,-1600.841042172272,-1600.841042172272
82,frame_000082.png,83,0.332,1419.340573455343,-1375.8436215124025,-0.013852281585587349,-0.7936772714809431,0.10039826779125299,5.752397014863026,-1622.0625065118852,-1622.0625065118852,-1622.0625065118852
83,frame_000083.png,84,0.336,1413.769295482997,-1409.0574971352953,-0.013452781050021474,-0.7707875768798025,0.09929129176104644,5.688971960310044,-1641.923560258194,-1641.923560258194,-1641.923560258194
84,frame_000084.png,85,0.34,1408.0689029202028,-1440.441567042728,-0.013057851007882782,-0.7481597522623317,0.09811741295196681,5.621713658889938,-1660.4786650042925,-1660.4786650042925,-1660.4786650042925
85,frame_000085.png,86,0.34400000000000003,1402.246567925481,-1470.0677653430778,-0.012667745544642478,-0.7258083556536664,0.0968831954792182,5.5509982067001395,-1677.7802359330994,-1677.7802359330994,-1677.7802359330994
86,frame_000086.png,87,0.34800000000000003,1396.3091804049054,-1498.0053437424885,-0.012282693295769014,-0.7037464869011959,0.09559480859816416,5.47717907603572,-1693.8787181394841,-1693.8787181394841,-1693.8787181394841
87,frame_000087.png,88,0.352,1390.263358541192,-1524.3209696261076,-0.011902898985180304,-0.681985875821382,0.09425804685537922,5.400588269959591,-1708.8226600554422,-1708.8226600554422,-1708.8226600554422
88,frame_000088.png,89,0.356,1384.1154589374642,-1549.0788207148407,-0.011528544884985099,-0.6605369658367792,0.0928783493064704,5.321537423402571,-1722.658784097449,-1722.658784097449,-1722.658784097449
89,frame_000089.png,90,0.36,1377.8715863891966,-1572.340676392424,-0.01115979220016838,-0.6394089933126633,0.09146081783925299,5.240318853004026,-1735.432054648752,-1735.432054648752,-1735.432054648752
90,frame_000090.png,91,0.364,1371.5376032974634,-1594.166005799132,-0.01079678238172347,-0.6186100627939598,0.09001023463974946,5.157206557839889,-1747.1857434836284,-1747.1857434836284,-1747.1857434836284
91,frame_000091.png,92,0.368,1365.1191387362219,-1614.6120527891126,-0.01043963837158609,-0.5981472183347104,0.08853107883732242,5.072457173118534,-1757.961492735256,-1757.961492735256,-1757.961492735256
92,frame_000092.png,93,0.372,1358.6215971859817,-1633.7339178483094,-0.010088465782582658,-0.5780265111041315,0.08702754236406585,4.986310878856948,-1767.7993755040047,-1767.7993755040047,-1767.7993755040047
93,frame_000093.png,94,0.376,1352.0501669458195,-1651.5846370693482,-0.009743354016467132,-0.5582530634454059,0.0855035450623782,4.89899226548092,-1776.7379541983632,-1776.7379541983632,-1776.7379541983632
94,frame_000094.png,95,0.38,1345.4098282353143,-1668.2152582787148,-0.009404377322987328,-0.5388311295557133,0.08396274907343856,4.810711158223993,-1784.8143366965355,-1784.8143366965355,-1784.8143366965355
95,frame_000095.png,96,0.384,1338.7053609976065,-1683.6749144101523,-0.009071595802793295,-0.5197641529486476,0.08240857253810818,4.7216634021312975,-1792.0642304127787,-1792.0642304127787,-1792.0642304127787
96,frame_000096.png,97,0.388,1331.941352414402,-1698.0108942165168,-0.008745056356876555,-0.5010548208530781,0.08084420264059583,4.632031609406527,-1798.521994348912,-1798.521994348912,-1798.521994348912
97,frame_000097.png,98,0.392,1325.1222041433873,-1711.2687104104239,-0.008424793585110033,-0.4827051156956948,0.07927260802405844,4.541985870773453,-1804.220689207932,-1804.220689207932,-1804.220689207932
98,frame_000098.png,99,0.396,1318.252139288159,-1723.4921653219433,-0.00811083063634414,-0.464716363807927,0.07769655060616554,4.4516844324579035,-1809.1921256434634,-1809.1921256434634,-1809.1921256434634
99,frame_000099.png,100,0.4,1311.33520911042,-1734.7234141593983,-0.007803180012404613,-0.4470892814916257,0.07611859682153788,4.361274340332043,-1813.4669107156733,-1813.4669107156733,-1813.4669107156733
100,frame_000100.png,101,0.404,1304.3752994938638,-1745.0030259570467,-0.007501844328232274,-0.4298240185718636,0.07454112831688334,4.270892052700525,-1817.0744926214243,-1817.0744926214243,-1817.0744926214243
101,frame_000101.png,102,0.40800000000000003,1297.37613716883,-1754.3700422910727,-0.007206817030303716,-0.41292019955940845,0.07296635212359423,4.180664023147381,-1820.0432037636542,-1820.0432037636542,-1820.0432037636542
102,frame_000102.png,103,0.41200000000000003,1290.3412957064963,-1762.862033842946,-0.006918083075374942,-0.39637696253986915,0.07139631033154491,4.090707254803799,-1822.400302222401,-1822.400302222401,-1822.400302222401
103,frame_000103.png,104,0.41600000000000004,1283.274201291063,-1770.5151548868207,-0.006635619571497041,-0.38019299590118827,0.06983288928683559,4.001129827340021,-1824.1720116874085,-1824.1720116874085,-1824.1720116874085
104,frame_000104.png,105,0.42,1276.1781382780766,-1777.3641957752566,-0.006359396383163949,-0.3643665730060548,0.06827782833526824,3.912031397929614,-1825.3835599098823,-1825.3835599098823,-1825.3835599098823
105,frame_000105.png,106,0.424,1269.0562545467596,-1783.4426334951859,-0.0060893767023670504,-0.3488955849109228,0.06673272813241382,3.823503677381248,-1826.0592157287297,-1826.0592157287297,-1826.0592157287297
106,frame_000106.png,107,0.428,1261.9115666539174,-1788.7826803637054,-0.005825517587249786,-0.33377757122864704,0.06519905854023748,3.7356308825819937,-1826.2223247244744,-1826.2223247244744,-1826.2223247244744
107,frame_000107.png,108,0.432,1254.7469647967275,-1793.415330930974,-0.005567770469977267,-0.3190097492272682,0.06367816612938752,3.6484901663468143,-1825.8953435519763,-1825.8953435519763,-1825.8953435519763
108,frame_000108.png,109,0.436,1247.5652175914508,-1797.3704071552381,-0.005316081635361176,-0.3045890412532001,0.06217128130542648,3.5621520257215322,-1825.0998730011509,-1825.0998730011509,-1825.0998730011509
